station,zip,route,dsp,volume,price
BKD01,93215,BKD-001,YMB,397,1.95
BKD01,93219,BKD-001,YMB,39,1.95
BKD01,93250,BKD-001,YMB,112,1.9
BKD01,93256,BKD-001,YMB,42,1.95
BKD01,93257,BKD-001,YMB,716,1.95
BKD01,93270,BKD-001,YMB,36,1.95
BKD01,93272,BKD-001,YMB,35,1.95
BKD01,93280,BKD-001,YMB,189,1.9
BKD01,93263,BKD-002,YMB,216,1.85
BKD01,93268,BKD-002,YMB,198,1.9
BKD01,93309,BKD-002,YMB,544,1.85
BKD01,93311,BKD-002,YMB,493,1.85
BKD01,93312,BKD-002,YMB,523,1.85
BKD01,93313,BKD-002,YMB,590,1.85
BKD01,93314,BKD-002,YMB,383,1.85
BKD01,93203,BKD-003,YMB,183,1.85
BKD01,93241,BKD-003,YMB,105,1.85
BKD01,93301,BKD-003,YMB,122,1.85
BKD01,93304,BKD-003,YMB,432,1.85
BKD01,93305,BKD-003,YMB,269,1.85
BKD01,93306,BKD-003,YMB,709,1.85
BKD01,93307,BKD-003,YMB,743,1.85
BKD01,93308,BKD-003,YMB,498,1.85
LAX01,91767,LAX01-018,PRG,466,1.6
LAX01,91768,LAX01-018,PRG,299,1.6
LAX01,91769,LAX01-018,PRG,0,1.6
LAX01,91711,LAX01-019,PRG,265,1.7
LAX01,91750,LAX01-019,PRG,312,1.7
LAX01,91763,LAX01-019,PRG,367,1.7
LAX01,91762,LAX01-020,PRG,663,1.6
CNO01,91752,CNO-004,TLI,455,1.55
CNO01,92506,CNO-005,UNS,420,1.7
CNO01,92501,CNO-005,UNS,233,1.7
CNO01,92502,CNO-005,UNS,0,1.7
CNO01,92517,CNO-005,UNS,0,1.7
CNO01,92521,CNO-005,UNS,0,1.7
CNO01,92507,CNO-005,UNS,570,1.7
CNO01,92503,CNO-006,CNS,813,1.55
CNO01,92556,CNO-007,DIL,0,1.6
CNO01,92555,CNO-007,DIL,545,1.6
CNO01,92551,CNO-007,DIL,394,1.6
CNO01,92324,CNO-008,AZE,574,1.65
CNO01,92313,CNO-008,AZE,129,1.65
CNO01,92350,CNO-008,AZE,0,1.65
CNO01,92354,CNO-008,AZE,218,1.65
CNO01,92413,CNO-009,UNS,0,1.7
CNO01,92406,CNO-009,UNS,0,1.7
CNO01,92405,CNO-009,UNS,289,1.7
CNO01,92411,CNO-009,UNS,262,1.7
CNO01,92423,CNO-009,UNS,0,1.7
CNO01,92410,CNO-009,UNS,496,1.7
CNO01,92401,CNO-009,UNS,23,1.7
CNO01,92408,CNO-009,UNS,137,1.7
CNO01,92334,CNO-010,PRG,0,1.6
CNO01,92335,CNO-010,PRG,832,1.6
CNO01,92331,CNO-010,PRG,0,1.6
CNO01,92337,CNO-010,PRG,325,1.6
CNO01,92336,CNO-011,UNS,1116,1.65
LAX01,91784,LAX01-021,AZE,258,1.75
LAX01,91786,LAX01-021,AZE,537,1.75
LAX01,91785,LAX01-021,AZE,0,1.75
CNO01,92395,CNO-013,PRG,492,1.75
CNO01,92393,CNO-013,PRG,0,1.75
CNO01,92394,CNO-013,PRG,462,1.75
CNO01,92518,CNO-014,PRG,24,1.7
CNO01,92571,CNO-014,PRG,614,1.75
CNO01,92586,CNO-014,PRG,285,1.75
CNO01,92307,CNO-015,SLL,514,1.8
CNO01,92308,CNO-015,SLL,534,1.8
CNO01,92345,CNO-016,PRG,1053,1.75
CNO01,92340,CNO-016,PRG,0,1.75
CNO01,92344,CNO-017,PRG,295,1.75
CNO01,92392,CNO-017,PRG,839,1.75
CNO01,92530,CNO-018,PRG,703,1.65
CNO01,92883,CNO-018,PRG,419,1.65
CNO01,92592,CNO-019,PRG,735,1.75
CNO01,92881,CNO-020,DIL,307,1.6
CNO01,92882,CNO-020,DIL,654,1.6
CNO01,92877,CNO-020,DIL,0,1.6
CNO01,92320,CNO-021,PRG,106,1.85
CNO01,92223,CNO-021,PRG,520,1.85
CNO01,92220,CNO-021,PRG,289,1.85
CNO01,92230,CNO-021,PRG,22,1.85
CNO01,92548,CNO-022,UNS,71,1.7
CNO01,92545,CNO-022,UNS,380,1.7
CNO01,92543,CNO-022,UNS,356,1.7
CNO01,92318,CNO-023,AZE,3,1.7
CNO01,92375,CNO-023,AZE,0,1.7
CNO01,92374,CNO-023,AZE,433,1.7
CNO01,92373,CNO-023,AZE,288,1.7
CNO01,92878,CNO-024,DIL,190,1.6
CNO01,92880,CNO-024,DIL,631,1.6
CNO01,92553,CNO-025,DIL,767,1.6
CNO01,92552,CNO-025,DIL,0,1.6
LAX01,91710,LAX01-022,PRG,774,1.6
LAX01,91708,LAX01-022,PRG,212,1.6
CNO01,91701,CNO-027,UNS,381,1.7
CNO01,91730,CNO-027,UNS,728,1.7
CNO01,92563,CNO-028,PRG,726,1.75
CNO01,92808,CNO-029,PRG,173,1.75
CNO01,92887,CNO-029,PRG,169,1.75
CNO01,92570,CNO-030,DIL,482,1.9
CNO01,92562,CNO-030,DIL,485,1.9
CNO01,92590,CNO-030,DIL,56,1.9
CNO01,92589,CNO-030,DIL,0,1.9
CNO01,92585,CNO-031,PRG,346,1.75
CNO01,92584,CNO-031,PRG,705,1.75
CNO01,92532,CNO-032,PRG,323,1.7
CNO01,92587,CNO-032,PRG,192,1.7
CNO01,92595,CNO-032,PRG,366,1.7
LAX01,91709,LAX01-023,PRG,712,1.6
CNO01,92316,CNO-034,SLL,309,1.65
CNO01,92376,CNO-034,SLL,891,1.65
CNO01,92404,CNO-035,UNS,608,1.7
CNO01,92346,CNO-035,UNS,587,1.7
CNO01,92544,CNO-036,UNS,517,1.75
CNO01,92860,CNO-037,CNS,247,1.6
CNO01,92505,CNO-037,CNS,442,1.6
CNO01,92879,CNO-037,CNS,490,1.6
CNO01,92371,CNO-038,PRG,181,1.9
CNO01,92301,CNO-038,PRG,426,1.9
CNO01,92342,CNO-039,PRG,73,1.9
CNO01,92311,CNO-039,PRG,369,1.9
CNO01,92596,CNO-040,PRG,343,1.75
CNO01,92591,CNO-040,PRG,414,1.85
LAX01,91766,LAX01-024,PRG,660,1.55
LAX01,91761,LAX01-025,PRG,707,1.6
CNO01,92504,CNO-043,CNS,508,1.55
CNO01,92508,CNO-043,CNS,356,1.55
CNO01,92513,CNO-044,AZE,0,1.55
CNO01,92509,CNO-044,AZE,731,1.55
CNO01,91764,CNO-045,AZE,573,1.65
CNO01,91729,CNO-045,AZE,0,1.65
CNO01,92583,CNO-046,UNS,306,1.7
CNO01,92582,CNO-046,UNS,231,1.7
CNO01,92567,CNO-046,UNS,86,1.7
CNO01,92359,CNO-047,AZE,77,1.7
CNO01,92399,CNO-047,AZE,540,1.7
CNO01,92557,CNO-048,DIL,562,1.6
CNO01,91737,CNO-049,UNS,238,1.6
CNO01,91739,CNO-049,UNS,396,1.6
CNO01,92407,CNO-050,UNS,722,1.65
CNO01,92377,CNO-050,UNS,261,1.65
FAT01,93611,FAT01-001,PEL,497,1.85
FAT01,93612,FAT01-001,PEL,360,1.85
FAT01,93619,FAT01-001,PEL,591,1.85
FAT01,93610,FAT01-002,YMB,220,1.95
FAT01,95301,FAT01-002,YMB,495,1.95
FAT01,95317,FAT01-002,YMB,7,1.95
FAT01,95333,FAT01-002,YMB,32,1.95
FAT01,95340,FAT01-002,YMB,414,1.95
FAT01,95341,FAT01-002,YMB,378,1.95
FAT01,95348,FAT01-002,YMB,446,1.95
FAT01,95365,FAT01-002,YMB,35,1.95
FAT01,95388,FAT01-002,YMB,149,1.95
FAT01,93636,FAT01-003,YMB,283,1.85
FAT01,93637,FAT01-003,YMB,420,1.85
FAT01,93638,FAT01-003,YMB,444,1.85
FAT01,93710,FAT01-003,YMB,266,1.85
FAT01,93720,FAT01-003,YMB,517,1.85
