zip,price,station
93203,1.85,
93215,1.95,
93219,1.95,
93241,1.85,
93250,1.90,
93256,1.95,
93257,1.95,
93263,1.85,
93268,1.90,
93270,1.95,
93272,1.95,
93280,1.90,
93301,1.85,
93304,1.85,
93305,1.85,
93306,1.85,
93307,1.85,
93308,1.85,
93309,1.85,
93311,1.85,
93312,1.85,
93313,1.85,
93314,1.85,
91701,1.70,
91708,1.70,
91709,1.70,
91710,1.70,
91711,1.85,
91729,1.75,
91730,1.70,
91737,1.70,
91739,1.70,
91750,1.85,
91752,1.55,
91762,1.70,
91763,1.70,
91764,1.75,
91766,1.625,
91767,1.65,
91768,1.65,
91769,1.65,
91784,1.75,
91785,1.75,
91786,1.75,
92220,1.95,
92223,1.95,
92230,1.95,
92301,1.90,
92307,1.85,
92308,1.85,
92311,1.90,
92313,1.75,
92316,1.70,
92318,1.75,
92320,1.95,
92324,1.75,
92331,1.70,
92334,1.70,
92335,1.70,
92336,1.70,
92337,1.70,
92340,1.85,
92342,1.90,
92344,1.85,
92345,1.85,
92346,1.70,
92350,1.75,
92354,1.75,
92359,1.75,
92371,1.90,
92373,1.75,
92374,1.75,
92375,1.75,
92376,1.70,
92377,1.70,
92392,1.85,
92393,1.80,
92394,1.80,
92395,1.80,
92399,1.75,
92401,1.70,
92404,1.70,
92405,1.70,
92406,1.70,
92407,1.70,
92408,1.70,
92410,1.70,
92411,1.70,
92413,1.70,
92423,1.70,
92501,1.80,
92502,1.80,
92503,1.60,
92504,1.60,
92505,1.75,
92506,1.80,
92507,1.80,
92508,1.60,
92509,1.55,
92513,1.55,
92517,1.80,
92518,1.85,
92521,1.80,
92530,1.70,
92532,1.75,
92543,1.70,
92544,1.85,
92545,1.70,
92548,1.70,
92551,1.70,
92552,1.70,
92553,1.70,
92555,1.70,
92556,1.70,
92557,1.70,
92562,2.00,
92563,1.85,
92567,1.70,
92570,2.00,
92571,1.85,
92582,1.70,
92583,1.70,
92584,1.85,
92585,1.85,
92586,1.85,
92587,1.75,
92589,2.00,
92590,2.00,
92591,1.85,
92592,1.85,
92595,1.75,
92596,1.85,
92808,1.85,
92860,1.75,
92877,1.70,
92878,1.70,
92879,1.75,
92880,1.70,
92881,1.70,
92882,1.70,
92883,1.70,
92887,1.85,
93204,2.00,
93210,2.00,
93212,2.00,
93221,1.95,
93223,1.95,
93230,2.00,
93235,1.95,
93245,2.00,
93247,2.00,
93267,2.00,
93274,2.00,
93277,1.95,
93286,1.95,
93291,1.95,
93292,1.95,
93610,1.95,
93611,1.85,
93612,1.85,
93615,1.80,
93616,1.80,
93618,1.80,
93619,1.85,
93620,2.00,
93622,2.00,
93625,1.80,
93630,1.85,
93631,1.80,
93635,2.00,
93636,1.85,
93637,1.85,
93638,1.85,
93640,2.00,
93646,1.80,
93647,1.80,
93648,1.80,
93650,1.80,
93654,1.80,
93657,1.85,
93660,1.85,
93662,1.80,
93668,1.85,
93701,1.80,
93702,1.80,
93703,1.80,
93704,1.80,
93705,1.80,
93706,1.85,
93710,1.85,
93711,1.80,
93720,1.85,
93721,1.80,
93722,1.85,
93723,1.85,
93725,1.80,
93726,1.85,
93727,1.85,
93728,1.80,
93730,1.85,
93737,1.85,
95301,1.95,
95317,1.95,
95333,1.95,
95340,1.95,
95341,1.95,
95348,1.95,
95365,1.95,
95388,1.95,
